,loss,mae,rmse,filter_0_rmse
65,0.20072418943047524,0.3172490894794464,0.4313230514526367,0.3812084197998047
66,0.2011478510995706,0.31785789132118225,0.4318508505821228,0.3983423113822937
67,0.20791277726491292,0.3257339894771576,0.43793609738349915,0.39075928926467896
68,0.1981569640338421,0.3157553970813751,0.4264093041419983,0.37916889786720276
69,0.1923731559018294,0.31431037187576294,0.4225086271762848,0.4008069932460785
70,0.1888718810180823,0.3047999441623688,0.417627215385437,0.37840932607650757
71,0.19774366274476052,0.31545838713645935,0.42762991786003113,0.36520326137542725
72,0.1910726431508859,0.31008535623550415,0.42091408371925354,0.3840263783931732
73,0.1853323356807232,0.30090999603271484,0.4120990037918091,0.3792645037174225
74,0.1785282525420189,0.29652950167655945,0.40517330169677734,0.3713214099407196
75,0.17679416596889497,0.29644766449928284,0.40090492367744446,0.35083138942718506
76,0.17105978613098463,0.2914017140865326,0.39710095524787903,0.3701283633708954
77,0.18098012655973433,0.29495370388031006,0.4068126380443573,0.37050867080688477
78,0.17234027201930682,0.29146355390548706,0.398495614528656,0.3823070824146271
79,0.17760775869091353,0.29449647665023804,0.40250593423843384,0.3557470142841339
80,0.17738288174072903,0.2974695861339569,0.40455082058906555,0.36814892292022705
81,0.17974582076072693,0.2961822748184204,0.4035075008869171,0.38092783093452454
82,0.18552061210076015,0.3054291903972626,0.4114311635494232,0.3836796283721924
83,0.18281460364659627,0.29908278584480286,0.4099217653274536,0.3752565383911133
84,0.18299121965964635,0.29845497012138367,0.40900376439094543,0.37154316902160645
85,0.17396408836046853,0.29427576065063477,0.39907777309417725,0.353683739900589
86,0.17500560134649276,0.295182466506958,0.39944377541542053,0.3677584230899811
87,0.17030978644887607,0.28969091176986694,0.39518967270851135,0.3587266802787781
88,0.15878830696145693,0.2779771387577057,0.3797605037689209,0.34632787108421326
89,0.16990545516212782,0.28764382004737854,0.3924131393432617,0.3536526560783386
90,0.16452958464622497,0.28305426239967346,0.38634157180786133,0.36016759276390076
91,0.1693228916823864,0.2849867641925812,0.3912358582019806,0.35236644744873047
92,0.16873198678096135,0.28410956263542175,0.39146533608436584,0.3575400412082672
93,0.1657342384258906,0.285552054643631,0.39041951298713684,0.34602415561676025
94,0.1686127008497715,0.28485140204429626,0.39021530747413635,0.3444820046424866
95,0.173608957529068,0.29151320457458496,0.39721575379371643,0.3492959141731262
96,0.14996535450220108,0.2697516977787018,0.3695143163204193,0.3346980810165405
97,0.16183206190665564,0.27605369687080383,0.37967389822006226,0.3567087650299072
98,0.1574336335559686,0.2746220529079437,0.3777087330818176,0.3315463364124298
99,0.15438571607073148,0.2705712616443634,0.37306326627731323,0.3377592861652374
100,0.15472530901432038,0.27135995030403137,0.3731023967266083,0.31888893246650696
101,0.16126037267347176,0.2789748013019562,0.38343194127082825,0.3543117046356201
102,0.15558927913506826,0.27437201142311096,0.375249445438385,0.34533822536468506
103,0.1475442996621132,0.2684688866138458,0.36631298065185547,0.3395823836326599
104,0.14872638682524364,0.2678227126598358,0.36748161911964417,0.3258313536643982
105,0.15144504914681117,0.26875972747802734,0.3702033758163452,0.33886316418647766
106,0.15431348184744517,0.2726217806339264,0.37403425574302673,0.3489294648170471
107,0.14833014781276385,0.2668463885784149,0.3663022220134735,0.3406028151512146
108,0.15505310143033663,0.2732379138469696,0.37475353479385376,0.3284030854701996
109,0.14017344097296397,0.2592233717441559,0.35600924491882324,0.30589163303375244
